	0	90k_Plus
STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	350894	True
CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	421580	True
STR_SST-CHODL_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	423367	True
F_M_GATA3_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	579835	True
F_Glut.hypo.dmr.full.tsv.hypo.dmr.bed	411195	True
Glut.hypo.dmr.full.tsv.hypo.dmr.bed	822003	True
Astrocyte.hypo.dmr.full.tsv.hypo.dmr.bed	453171	True
BACKGROUND_noGlut.merged.bed	4798255	True
CN_Cholinergic_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	321453	True
VLMC.hypo.dmr.full.tsv.hypo.dmr.bed	1034601	True
OPC.hypo.dmr.full.tsv.hypo.dmr.bed	473376	True
F_M_Glut.hypo.dmr.full.tsv.hypo.dmr.bed	297789	True
OT_Granular_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	594773	True
Lymphocyte.hypo.dmr.full.tsv.hypo.dmr.bed	1061346	True
Oligodendrocyte.hypo.dmr.full.tsv.hypo.dmr.bed	780569	True
CN_LHX8_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	324894	True
STR_D2_MSN.hypo.dmr.full.tsv.hypo.dmr.bed	766882	True
ACx_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	335333	True
M_Dopa.hypo.dmr.full.tsv.hypo.dmr.bed	363287	True
SN_PAX7_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	300175	True
CN_LAMP5-CXCL14_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	685413	True
SMC.hypo.dmr.full.tsv.hypo.dmr.bed	403310	True
CN_ONECUT1_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	317836	True
CN_LAMP5-LHX6_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	483354	True
Pericyte.hypo.dmr.full.tsv.hypo.dmr.bed	1005415	True
STR_D1_MSN.hypo.dmr.full.tsv.hypo.dmr.bed	731208	True
CN_GABA-Glut.hypo.dmr.full.tsv.hypo.dmr.bed	223882	True
CN_ST18_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	567543	True
STR_Hybrid_MSN.hypo.dmr.full.tsv.hypo.dmr.bed	877442	True
CN_VIP_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	573868	True
F_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	246899	True
Endo.hypo.dmr.full.tsv.hypo.dmr.bed	1374354	True
Microglia.hypo.dmr.full.tsv.hypo.dmr.bed	1075940	True
