	0	90k_Plus
BF_SKOR1_Glut.hyper.dmr.bed	31177	False
SN_EBF2_GABA.hyper.dmr.bed	3547	False
STRd_D2_Striosome_MSN.hyper.dmr.bed	7291	False
STR_Cholinergic_GABA.hyper.dmr.bed	3965	False
STR_SST-CHODL_RORA_GABA.hyper.dmr.bed	3612	False
GPe_SOX6-CTXND1_GABA.hyper.dmr.bed	114	False
Astrocyte-2.hyper.dmr.bed	4393	False
SN-VTR_CALB1_Dopa.hyper.dmr.bed	5224	False
STR_FS_PTHLH-PVALB_GABA.hyper.dmr.bed	42772	False
Microglia-3.hyper.dmr.bed	216	False
AMY-SLEA-BNST_GABA.hyper.dmr.bed	2384	False
Microglia-2.hyper.dmr.bed	91014	True
Oligo_PLEKHG1.hyper.dmr.bed	44255	False
STRd_D2_Matrix_MSN.hyper.dmr.bed	24948	False
STRd_D1_Matrix_MSN.hyper.dmr.bed	9320	False
Astrocyte-3.hyper.dmr.bed	12346	False
SN_SEMA5A_GABA.hyper.dmr.bed	185	False
SN-VTR-HTH_GATA3-TCF7L2_GABA.hyper.dmr.bed	102774	True
Astrocyte-4.hyper.dmr.bed	11696	False
SN-VTR_GAD2_Dopa.hyper.dmr.bed	6920	False
SN_GATA3-PVALB_GABA.hyper.dmr.bed	7255	False
F_GABA.hyper.dmr.bed	666	False
Astrocyte-1.hyper.dmr.bed	12424	False
STRv_D1_NUDAP_MSN.hyper.dmr.bed	62953	False
STR_SST-RSPO2_GABA.hyper.dmr.bed	3910	False
STH_PVALB-PITX2_Glut.hyper.dmr.bed	36809	False
F_M_GATA3_GABA.hyper.dmr.bed	24137	False
SN_SOX6_Dopa.hyper.dmr.bed	431	False
Oligo_OPALIN.hyper.dmr.bed	18485	False
STRd_D1_Striosome_MSN.hyper.dmr.bed	5300	False
STR_LYPD6-RSPO2_GABA.hyper.dmr.bed	1161	False
STR_SST-CHODL_NRP2_GABA.hyper.dmr.bed	46974	False
GPin-BF_Cholinergic_GABA.hyper.dmr.bed	65	False
STRd_D2_StrioMat_Hybrid_MSN.hyper.dmr.bed	51250	False
STR_D1D2_Hybrid_MSN.hyper.dmr.bed	8448	False
STRd_Cholinergic_GABA.hyper.dmr.bed	164	False
Microglia-1.hyper.dmr.bed	1578	False
STRv_D2_MSN.hyper.dmr.bed	96467	True
STRv_D1_MSN.hyper.dmr.bed	60349	False
STR_SST-CHODL_GRIN2A_GABA.hyper.dmr.bed	499	False
STR_TAC3-PLPP4_GABA.hyper.dmr.bed	47169	False
STR-BF_TAC3-PLPP4-LHX8_GABA.hyper.dmr.bed	10589	False
GPe-NDB-SI_LHX6-LHX8-GBX1_GABA.hyper.dmr.bed	2442	False
ZI-HTH_GABA.hyper.dmr.bed	13332	False
